ap,ep,sinip,astar,iz
2.6388,0.2227,0.0869,0.174,-0.07
3.1133,0.2012,0.2864,0.161,0.1
3.1298,0.1271,0.0873,-0.125,0.03
3.1038,0.1756,0.0332,-0.085,0.05
2.9918,0.0526,0.0358,0.094,0.05
3.1766,0.1573,0.0109,-0.111,0.04
3.0765,0.1314,0.0336,-0.013,0.15
3.177,0.1334,0.0187,-0.107,0.06
2.4076,0.1885,0.0446,0.179,-0.07
3.0058,0.0776,0.0162,0.121,-0.04
3.1981,0.1507,0.0182,-0.111,0.05
2.208,0.1429,0.09,0.183,-0.04
2.9321,0.0596,0.037,0.09,-0.03
3.1841,0.1202,0.1839,-0.026,0.05
2.5793,0.1438,0.2301,0.134,0
3.0049,0.0793,0.1772,0.076,0.05
2.7242,0.1107,0.2726,0.094,-0.05
2.6698,0.0791,0.0534,0.125,0.11
2.392,0.0976,0.1086,0.117,-0.25
3.1795,0.0676,0.1548,-0.035,0
3.0708,0.2899,0.1609,0.037,0.01
2.8772,0.0409,0.0376,0.125,-0.01
2.5827,0.1675,0.1244,0.094,-0.08
2.5428,0.1574,0.2169,0.228,-0.06
3.0827,0.1534,0.1771,0.005,0.13
3.0968,0.1483,0.0274,-0.111,0
2.2764,0.0634,0.0698,-0.062,0.06
3.1286,0.1317,0.0382,-0.182,0.1
3.0749,0.1083,0.0553,-0.053,-0.01
2.8913,0.0763,0.0365,0.072,-0.09
2.3849,0.1173,0.0887,0.134,-0.38
2.5723,0.1967,0.0862,0.143,-0.02
3.1686,0.1562,0.1443,-0.116,-0.05
2.4055,0.1871,0.0658,0.174,-0.02
2.5179,0.1714,0.0973,0.089,-0.07
3.0774,0.1239,0.0468,-0.089,-0.01
3.0767,0.0704,0.165,0.067,0.01
3.1399,0.2669,0.071,-0.031,0.02
2.417,0.1566,0.0291,0.058,-0.07
2.9069,0.1265,0.0384,0.13,-0.05
2.5729,0.1744,0.1567,0.139,-0.02
3.1288,0.1298,0.1261,0.018,0.05
3.1053,0.1539,0.0363,-0.075,-0.01
3.0454,0.1322,0.0229,-0.031,-0.09
3.1949,0.2034,0.0282,-0.129,-0.04
3.1753,0.0843,0.2775,-0.013,0.03
2.57,0.1895,0.2868,0.112,-0.04
2.6113,0.1457,0.2338,0.165,0
3.1496,0.0805,0.2046,-0.062,0.06
2.6575,0.1512,0.2149,0.148,-0.06
2.7036,0.1206,0.2192,0.183,-0.02
2.6872,0.1412,0.2215,0.125,0.02
2.6134,0.1024,0.2595,0.027,-0.02
2.6225,0.1511,0.2483,0.17,-0.05
3.0104,0.0854,0.1778,0.032,0.04
3.1472,0.0471,0.2892,-0.084,0.06
2.9898,0.0782,0.17,0.076,0.04
2.987,0.0646,0.1732,0.032,0.04
2.7818,0.1189,0.2328,0.13,0
2.382,0.1804,0.1513,0.148,-0.01
3.0594,0.0713,0.166,0.063,0.05
2.5234,0.0519,0.1207,0.103,-0.03
2.5904,0.1732,0.1381,-0.035,0.07
2.6464,0.1206,0.2028,0.072,0.15
2.6188,0.1475,0.229,0.165,0.01
2.9025,0.0583,0.1981,-0.058,0.05
2.6334,0.1063,0.2481,0.072,0.01
2.8863,0.0174,0.2279,-0.102,0.06
3.0564,0.1002,0.19,0.054,0
3.0245,0.0596,0.1797,0.067,-0.01
3.0008,0.0859,0.1759,0.112,0.02
2.4006,0.1355,0.1849,-0.071,0
3.1948,0.0833,0.126,-0.138,0.04
